Start,Ende,TOP,Thema
2025-10-16 15:05:00,2025-10-16T15:10:00.000,TOP 11,Wahlen zu Gremien
2025-10-16 15:10:00,2025-10-16T15:55:00.000,TOP 12,Tätigkeitsbericht des Petitionsausschusses 2024
2025-10-16 15:55:00,2025-10-16T16:30:00.000,TOP 13,Bürgergeld
2025-10-16 16:30:00,2025-10-16T17:05:00.000,TOP 14,Bundeswehreinsatz EUNAVFOR ASPIDES
2025-10-16 17:05:00,2025-10-16T17:40:00.000,TOP 15,Finanzierung des Bildungssystems
2025-10-16 17:40:00,2025-10-16T18:15:00.000,TOP 16,Bundeswehreinsatz in Südsudan (UNMISS)
2025-10-16 18:15:00,2025-10-16T18:50:00.000,TOP 17,Luftverkehrsteuer
2025-10-16 18:50:00,2025-10-16T19:25:00.000,TOP 18,"Änderung der GO-BT, Änderung d. Abgeordnetengesetzes"
2025-10-16 19:25:00,2025-10-16T20:00:00.000,TOP 19,"Stahlstandorte, Automobilindustrie"
2025-10-16 20:00:00,2025-10-16T20:25:00.000,TOP 20,Paketboten-Schutz-Gesetz
2025-10-16 20:25:00,2025-10-16T20:50:00.000,TOP 21,Entfernung von Verfassungsfeinden aus der Bundeswehr
2025-10-16 20:50:00,2025-10-16T21:15:00.000,TOP 22,Nationales Once-Only-Technical-System
2025-10-16 21:15:00,2025-10-16T21:40:00.000,TOP 23,Zeitumstellung
2025-10-16 21:40:00,2025-10-16T22:05:00.000,TOP 24,Änderung des Elektro- und Elektronikgerätegesetzes
2025-10-16 22:05:00,2025-10-16T22:30:00.000,TOP 25,Bekämpfung d. Verabreichung sogenannter K.O.-Tropfen
2025-10-17 09:00:00,2025-10-17T10:10:00.000,TOP 26,Modernisierungsagenda für Staat und Verwaltung
2025-10-17 10:10:00,2025-10-17T11:20:00.000,TOP 27,Abgeordnete in die gesetzliche Rentenversicherung
2025-10-17 11:20:00,2025-10-17T11:55:00.000,TOP 28,Bericht der Beauftragten für Ostdeutschland 2025
2025-10-17 11:55:00,2025-10-17T12:30:00.000,TOP 29,BAföG-Reform
2025-10-17 12:30:00,2025-10-17T13:05:00.000,TOP 30,Umsetzung der Verbraucherrechte-Richtlinie
2025-10-17 13:05:00,2025-10-17T13:40:00.000,TOP 31,Agrardieselrückerstattung
2025-10-17 13:40:00,2025-10-17T14:15:00.000,TOP 32,Änderung d. Gesetzes gegen den unlauteren Wettbewerb
